created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Sun Nov 26 14:12:29 +0000 2023,1728778758113677802,@ganjarpranowo Wahhh terlihat sangat senang sekali para warga Pontianak kedatangan pak Ganjar Pranowo,0,0,0,0,in,1643223793488531457,1728747081320554652,KristianWo736,https://twitter.com/KristianWo736/status/1728778758113677802
Sun Nov 26 14:12:26 +0000 2023,1728778745291444552,"@Hasbil_Lbs @gibran_tweet Bang mau tanya nih... Sampai dg hari ini, sudah 19 kali debat capres cawapres di adakan, Prabowo tidak hadir 8×, sedangkan Gibran 9× TDK hadir, ada apa, kenapa, mengapa ya bang .? Sedangkan Anies 1× tdk hadir Ganjar 1× tdk hadir",0,0,0,0,in,2909214499,1728677799198851414,KakitSudirman,https://twitter.com/KakitSudirman/status/1728778745291444552
Sun Nov 26 14:12:26 +0000 2023,1728778743580123542,@febriana110 @tvOneNews Semoga pak Ganjar lebih memahami etika politik jika menjadi presiden nanti😍 Kitaa di sini support terus pokonyaa,0,0,0,0,in,1728319018845794304,1728096932944572747,hasan_nura45808,https://twitter.com/hasan_nura45808/status/1728778743580123542
Sun Nov 26 14:12:20 +0000 2023,1728778717495742720,"Waktu Anies di Makassar rame... Waktu kemarin gibran di makssar rame jugaa  Sekarang ganjar yg di makassar.. rame sangat jua..  Jadi, siapapun yg datang . makassar mah tetap rame..😁",0,0,1,1,in,60242057,1728778717495742720,charlessiahaan,https://twitter.com/charlessiahaan/status/1728778717495742720
Sun Nov 26 14:12:20 +0000 2023,1728778717403443601,@jpnncom Sukses selalu pak Ganjar kemajuan bangsa bersama pak Ganjar Pranowo dan pak Mahfud MD,0,0,0,0,in,1696687684679593984,1728728084260741129,SetyoSe63275,https://twitter.com/SetyoSe63275/status/1728778717403443601
Sun Nov 26 14:12:18 +0000 2023,1728778710856221152,@Dennysiregar7 Kok akhir2 ini agak kendor sih bang? Ga segahar minggu2 kemarin? Sekarang cuma nyindir2. Ada evaluasi dari TPN Ganjar ya supaya ga nyerang Pak Lurah lagi?,0,0,0,0,in,1470688070185799682,1728774380384293022,semangat007,https://twitter.com/semangat007/status/1728778710856221152
Sun Nov 26 14:12:17 +0000 2023,1728778706842219000,"Ribuan warga mengikuti jalan sehat bersama Calon Presiden (Capres) Ganjar Pranowo di Jalan Jenderal Sudirman, Kecamatan Ujung Pandang, Kota Makassar, Sulawesi Selatan.  #SahabatGanjar #GanjarPranowo #Ganjar #GenerasiGotongRoyong #GanjarPresiden #GanjarUntukSemua #GanjarMahfud2024 https://t.co/KDTgaLZ0Ib",0,0,0,0,in,1255458628749996032,1728778706842219000,MbBolot,https://twitter.com/MbBolot/status/1728778706842219000
Sun Nov 26 14:12:14 +0000 2023,1728778693412098352,"@okezonenews pak ganjar memang layak mendapatkan antusias yang begitu besar, karena beliau benar2 menerima aspirasi rakyat setempat dan membantunya, gaspol pak!",0,0,0,0,in,1700640418428510208,1728629780965441736,yulia_ngelina,https://twitter.com/yulia_ngelina/status/1728778693412098352
Sun Nov 26 14:12:12 +0000 2023,1728778687523287176,"@ganjarpranowo @mohmahfudmd Aih, kagum banget sama gaya kepemimpinan Pak Ganjar sama Pak Mahfud. Niatnya beneran buat bikin rakyat sejahtera.",0,0,0,0,in,893094469163130880,1728714029991161963,348juta,https://twitter.com/348juta/status/1728778687523287176
Sun Nov 26 14:12:11 +0000 2023,1728778681282183293,"@Ganjar_Mahfud03 @ShenoWirang @AndisBoga Trus yang paling benar kalian gitu,, Bukan saya membela nya, tapi siapapun yg mimpin di otak kalian gak ada yg baik selama kalian gak di untungkan,",0,0,0,0,in,990989800386654208,1728181214992015460,terong_2007,https://twitter.com/terong_2007/status/1728778681282183293
