created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,image_url,location,keyword,target,paslon,date,lowercase
2023-12-08 18:06:44+07:00,1733080664134861026,Menurut Ketua Umum DPP GMNI  Arjuna Putra Aldino  pelibatan anak-anak jelas melanggar UU. UU Nomor 7 Tahun 2017 tentang Pemilu Pasal 280 ayat (2) huruf k yg menyatakan bahwa anak usia 17 tahun ke bawah tidak boleh diikutsertakan dalam kegiatan kampanye.  https://t.co/g6Al7ucbbn,2,5,28,75,id,715696111,1733080664134861026,bos_sir,https://twitter.com/bos_sir/status/1733080664134861026,,Nusantara,Wapres,Gibran,P2,2023-12-08,menurut ketua umum dpp gmni  arjuna putra aldino  pelibatan anak-anak jelas melanggar uu. uu nomor 7 tahun 2017 tentang pemilu pasal 280 ayat (2) huruf k yg menyatakan bahwa anak usia 17 tahun ke bawah tidak boleh diikutsertakan dalam kegiatan kampanye.  https://t.co/g6al7ucbbn
2023-12-28 14:23:27+07:00,1740272231836709028,@pawpawrent Kaya tidak asing sama kalimatnya. Ngana jadi join?,0,1,0,0,id,1060166315904651264,1740237589297369179,gamaaputri,https://twitter.com/gamaaputri/status/1740272231836709028,,"Yogyakarta, Indonesia",Wapres,Mahfud,P3,2023-12-28,@pawpawrent kaya tidak asing sama kalimatnya. ngana jadi join?
2023-12-14 11:02:13+07:00,1735148159758901470,@FurqanIbr64677 kenapa nih..,0,0,0,0,id,2204929734,1734882548541718782,amin_muhaimin1,https://twitter.com/amin_muhaimin1/status/1735148159758901470,,Jakarta,Wapres,Imin,P1,2023-12-14,@furqanibr64677 kenapa nih..
2023-12-23 01:58:24+07:00,1738272792901267624,Pelanggaran dmi pelanggaran dilakukan 02 KPU masuk angin https://t.co/kUNRw2V4Hg,0,0,0,1,id,1603619423205539840,1738272792901267624,ota_bibar2,https://twitter.com/ota_bibar2/status/1738272792901267624,,,Wapres,Imin,P1,2023-12-23,pelanggaran dmi pelanggaran dilakukan 02 kpu masuk angin https://t.co/kunrw2v4hg
2023-12-20 17:28:13+07:00,1737419628404474265,Ya Maluƙul Mulki Kabawa Engr  Abba Kabir Yusuf Nasara A Wannan Kotun ƙolin. Dan Matsayi Da Daraja ta Manzon Allah SAW A Wajenka.🥰🤲🙏 https://t.co/EsOXodD0c7,2,4,15,148,id,1385959742368010240,1737419628404474265,engr_baiwa,https://twitter.com/engr_baiwa/status/1737419628404474265,https://pbs.twimg.com/media/GByN8B0XQAA84eP.jpg,"Kano, Nigeria",Wapres,Mahfud,P3,2023-12-20,ya maluƙul mulki kabawa engr  abba kabir yusuf nasara a wannan kotun ƙolin. dan matsayi da daraja ta manzon allah saw a wajenka.🥰🤲🙏 https://t.co/esoxodd0c7
2023-12-22 23:49:32+07:00,1738240364044300306,Capres yang kelakuannya seperti inikah yang didukung.oleh @jokowi ?  Capek deh..Nyesel kami dukung 2 periode.  @_G03NT03R_  @Ari3Pras  @Miduk17  @Twillight_Loid  @feroferraferri  @NdiTNB  @Verraagustian_ https://t.co/0hdWHDiklm,0,2,3,5,id,278039207,1738240364044300306,Megatop99,https://twitter.com/Megatop99/status/1738240364044300306,https://pbs.twimg.com/ext_tw_video_thumb/1738240328392675329/pu/img/sxD1y7K7qCpyAzsf.jpg,Indonesia,Wapres,Mahfud,P3,2023-12-22,capres yang kelakuannya seperti inikah yang didukung.oleh @jokowi ?  capek deh..nyesel kami dukung 2 periode.  @_g03nt03r_  @ari3pras  @miduk17  @twillight_loid  @feroferraferri  @nditnb  @verraagustian_ https://t.co/0hdwhdiklm
2023-12-18 15:32:26+07:00,1736665713589334398,Bongkar Terus nih Gilak banget  https://t.co/Y0PIf1D56I,0,2,15,20,id,1166305200082042881,1736665713589334398,_Umamlik,https://twitter.com/_Umamlik/status/1736665713589334398,,"Moscow, Russia",Pres,Prabowo,P2,2023-12-18,bongkar terus nih gilak banget  https://t.co/y0pif1d56i
2023-12-14 09:57:10+07:00,1735131787658252573,PERTUNJUKAN NIRADAB DARI PASLON AIB DEMOKRASI.  Cawapres Muda gak Beretika membuat suasana Debat Pilpres selayak pertandingan Futsal anak STM.  Dan itu malah membuat Pasangannya Capres Tua gak Berakhlak semakin bertingkah selayak emak2 komplek rumpi. 😤 https://t.co/ZTwhSc3Y1I,2,4,15,29,id,1556789140435324929,1735131787658252573,Kanjeng2022,https://twitter.com/Kanjeng2022/status/1735131787658252573,,"Bumi Agung, Indonesia",Wapres,Gibran,P2,2023-12-14,pertunjukan niradab dari paslon aib demokrasi.  cawapres muda gak beretika membuat suasana debat pilpres selayak pertandingan futsal anak stm.  dan itu malah membuat pasangannya capres tua gak berakhlak semakin bertingkah selayak emak2 komplek rumpi. 😤 https://t.co/ztwhsc3y1i
2023-12-14 19:15:54+07:00,1735272398075965655,@Yulia_NS79 Tambah tua tambah spt anak kecil Joged marah2 ngeri nih Mosok presiden kaya anak kecil 😁,0,0,0,2,id,1215666613313163270,1735220364492595533,Ganjar_Mahfud_3,https://twitter.com/Ganjar_Mahfud_3/status/1735272398075965655,,"Denpasar Selatan, Indonesia",Akronim,GaMa,P3,2023-12-14,@yulia_ns79 tambah tua tambah spt anak kecil joged marah2 ngeri nih mosok presiden kaya anak kecil 😁
2023-12-16 09:06:37+07:00,1735843844179259586,@yusufagro @AgusYudhoyono @alextham878 @AlmaghribiS @andre_rosiade @BANGSAygSUJUD @Kimberley_2024 @Chaves1305 @Kenikir27 @G0mb4k @Gerindra Kalo bukan jongos cukong ga mungkin ngotot project IKN  tidak pernah korupsi?🤣 cek dulu👇  https://t.co/BkjTC3AGSN  Lain kali buzzer klo mau bernarasi cek data dulu biar ga sesumbar 🤣,1,3,11,64,id,1235210306940325888,1735796597202788436,Aisyana_dia,https://twitter.com/Aisyana_dia/status/1735843844179259586,,"25th Gate, Medina",Pres,Prabowo,P2,2023-12-16,@yusufagro @agusyudhoyono @alextham878 @almaghribis @andre_rosiade @bangsaygsujud @kimberley_2024 @chaves1305 @kenikir27 @g0mb4k @gerindra kalo bukan jongos cukong ga mungkin ngotot project ikn  tidak pernah korupsi?🤣 cek dulu👇  https://t.co/bkjtc3agsn  lain kali buzzer klo mau bernarasi cek data dulu biar ga sesumbar 🤣
